Unit,,F,f_contrast,Score,f_gj,Score
迪马,DI Maio,26,4,-6.0333,22,6.0333
愈演愈烈,en grandissant,14,0,-6.0104,14,6.0104
示威游行,manifestation,14,0,-6.0104,14,6.0104
蛋糕,gatêau,14,0,-6.0104,14,6.0104
调涨,augementer,14,0,-6.0104,14,6.0104
财政赤字,déficit,14,0,-6.0104,14,6.0104
推行,mise en œuvre,14,0,-6.0104,14,6.0104
极右翼,extrême droite,28,5,-5.8373,23,5.8373
市中心,centre de ville,20,2,-5.8262,18,5.8262
五星,cinq etoiles,17,1,-5.8259,16,5.8259
然而,cependant,46,13,-5.6802,33,5.6802
堵路,blocage (des rues),13,0,-5.581,13,5.581
反光,réfléchissant,13,0,-5.581,13,5.581
法国国民议会,Assemblée nationale (de la Frace),13,0,-5.581,13,5.581
费加罗,le Figaro,13,0,-5.581,13,5.581
围巾,écharpe,13,0,-5.581,13,5.581
谨慎,prudent,13,0,-5.581,13,5.581
民意,opinion publique,22,3,-5.5369,19,5.5369
走出,sortir,19,2,-5.4411,17,5.4411
前进,en marche,16,1,-5.4219,15,5.4219
推进改革,avancer le réforme,16,1,-5.4219,15,5.4219
法方,côté français,16,1,-5.4219,15,5.4219
最,le plus,76,28,-5.397,48,5.397
降低,baisser,21,3,-5.1692,18,5.1692
自发,spontane,12,0,-5.1517,12,5.1517
借机,à l’occasion de (NEG),12,0,-5.1517,12,5.1517
焚烧,brûler,12,0,-5.1517,12,5.1517
加税,augementer le taxe,12,0,-5.1517,12,5.1517
打砸,saccager,12,0,-5.1517,12,5.1517
路障,barrage routier,12,0,-5.1517,12,5.1517
号召,appel,12,0,-5.1517,12,5.1517
加油站,station d'essence,12,0,-5.1517,12,5.1517
外省,province,12,0,-5.1517,12,5.1517
香街,Champs-Elysées (abbr),12,0,-5.1517,12,5.1517
爱丽舍宫,Palais de l'Élysée,12,0,-5.1517,12,5.1517
意方,côté italien,12,0,-5.1517,12,5.1517
驻意,en Italie,12,0,-5.1517,12,5.1517
义乌,Yiwu,12,0,-5.1517,12,5.1517
前极,///,12,0,-5.1517,12,5.1517
如此,donc,18,2,-5.0584,16,5.0584
造成,causer (NEG),92,37,-5.0319,55,5.0319
仍,encore,92,37,-5.0319,55,5.0319
一体化,l'intégration,15,1,-5.0196,14,5.0196
也,aussi,485,258,-5.0191,227,5.0191
讲话,discours,50,16,-5.0067,34,5.0067
公投,,43,13,-4.8248,30,4.8248
亿,,25,5,-4.8082,20,4.8082
中旬,,20,3,-4.8044,17,4.8044
这些,,102,43,-4.7314,59,4.7314
砸碎,,11,0,-4.7223,11,4.7223
柴油,,11,0,-4.7223,11,4.7223
演变成,,11,0,-4.7223,11,4.7223
不满情绪,,11,0,-4.7223,11,4.7223
征税,,11,0,-4.7223,11,4.7223
