Unit,,F,f_contrast,Score,f_gj,Score
红巾,,2,0,-0.8585,2,0.8585
放出,,2,0,-0.8585,2,0.8585
杜洛埃,,2,0,-0.8585,2,0.8585
参政,,2,0,-0.8585,2,0.8585
外溢,,2,0,-0.8585,2,0.8585
运动会,,2,0,-0.8585,2,0.8585
汽柴油,,2,0,-0.8585,2,0.8585
充分考虑,,2,0,-0.8585,2,0.8585
退税,,2,0,-0.8585,2,0.8585
面对,,24,12,-0.8555,12,0.8555
扩大,,24,12,-0.8555,12,0.8555
看,,24,12,-0.8555,12,0.8555
新年,,53,29,-0.848,24,0.848
衰落,,6,2,-0.8448,4,0.8448
适当,,6,2,-0.8448,4,0.8448
损害,,6,2,-0.8448,4,0.8448
党首,,6,2,-0.8448,4,0.8448
关系密切,,6,2,-0.8448,4,0.8448
创建,,6,2,-0.8448,4,0.8448
卷土重来,,6,2,-0.8448,4,0.8448
各个,,6,2,-0.8448,4,0.8448
无疑,,6,2,-0.8448,4,0.8448
围绕,,6,2,-0.8448,4,0.8448
财长,,6,2,-0.8448,4,0.8448
为此,,6,2,-0.8448,4,0.8448
凸显,,6,2,-0.8448,4,0.8448
节庆,,6,2,-0.8448,4,0.8448
浪漫,,6,2,-0.8448,4,0.8448
一边,,6,2,-0.8448,4,0.8448
网民,,6,2,-0.8448,4,0.8448
销售,,6,2,-0.8448,4,0.8448
资产,,6,2,-0.8448,4,0.8448
民间,,6,2,-0.8448,4,0.8448
几周,,6,2,-0.8448,4,0.8448
三个,,6,2,-0.8448,4,0.8448
捍卫,,6,2,-0.8448,4,0.8448
效应,,6,2,-0.8448,4,0.8448
通电话,,6,2,-0.8448,4,0.8448
受害者,,6,2,-0.8448,4,0.8448
打破,,6,2,-0.8448,4,0.8448
新政府,,6,2,-0.8448,4,0.8448
接着,,6,2,-0.8448,4,0.8448
情况,,58,32,-0.8417,26,0.8417
一年,,41,22,-0.8308,19,0.8308
清理,,4,1,-0.8279,3,0.8279
回落,,4,1,-0.8279,3,0.8279
内阁会议,,4,1,-0.8279,3,0.8279
数日,,4,1,-0.8279,3,0.8279
温和,,4,1,-0.8279,3,0.8279
明镜,,4,1,-0.8279,3,0.8279
旧,,4,1,-0.8279,3,0.8279
集结,,4,1,-0.8279,3,0.8279
丧生,,4,1,-0.8279,3,0.8279
编辑,,4,1,-0.8279,3,0.8279
理性,,4,1,-0.8279,3,0.8279
报名,,4,1,-0.8279,3,0.8279
红利,,4,1,-0.8279,3,0.8279
生产总值,,4,1,-0.8279,3,0.8279
135,,4,1,-0.8279,3,0.8279
一张,,4,1,-0.8279,3,0.8279
打着,,4,1,-0.8279,3,0.8279
创新,,4,1,-0.8279,3,0.8279
复杂,,4,1,-0.8279,3,0.8279
开支,,4,1,-0.8279,3,0.8279
大都,,4,1,-0.8279,3,0.8279
攻占,,4,1,-0.8279,3,0.8279
工厂,,4,1,-0.8279,3,0.8279
本来,,4,1,-0.8279,3,0.8279
呈,,4,1,-0.8279,3,0.8279
不了,,4,1,-0.8279,3,0.8279
潘多拉,,4,1,-0.8279,3,0.8279
第八,,4,1,-0.8279,3,0.8279
聚焦,,4,1,-0.8279,3,0.8279
各类,,4,1,-0.8279,3,0.8279
封路,,4,1,-0.8279,3,0.8279
解散,,4,1,-0.8279,3,0.8279
国旗,,4,1,-0.8279,3,0.8279
灵活,,4,1,-0.8279,3,0.8279
地标,,4,1,-0.8279,3,0.8279
票,,4,1,-0.8279,3,0.8279
警察局,,4,1,-0.8279,3,0.8279
回升,,4,1,-0.8279,3,0.8279
同事,,4,1,-0.8279,3,0.8279
觉得,,4,1,-0.8279,3,0.8279
想到,,4,1,-0.8279,3,0.8279
奥利维,,4,1,-0.8279,3,0.8279
群,,4,1,-0.8279,3,0.8279
第三次,,4,1,-0.8279,3,0.8279
势头,,4,1,-0.8279,3,0.8279
修宪,,4,1,-0.8279,3,0.8279
2100,,4,1,-0.8279,3,0.8279
响应,,4,1,-0.8279,3,0.8279
早已,,4,1,-0.8279,3,0.8279
一味,,4,1,-0.8279,3,0.8279
脱,,4,1,-0.8279,3,0.8279
扭转,,4,1,-0.8279,3,0.8279
无意,,4,1,-0.8279,3,0.8279
米尔,,4,1,-0.8279,3,0.8279
发放,,4,1,-0.8279,3,0.8279
桌子,,4,1,-0.8279,3,0.8279
信心,,4,1,-0.8279,3,0.8279
见,,4,1,-0.8279,3,0.8279
数周,,4,1,-0.8279,3,0.8279
石块,,4,1,-0.8279,3,0.8279
官邸,,4,1,-0.8279,3,0.8279
133,,4,1,-0.8279,3,0.8279
之所以,,4,1,-0.8279,3,0.8279
应强,,4,1,-0.8279,3,0.8279
树立,,4,1,-0.8279,3,0.8279
数十年,,4,1,-0.8279,3,0.8279
从中,,4,1,-0.8279,3,0.8279
保住,,4,1,-0.8279,3,0.8279
黑马,,4,1,-0.8279,3,0.8279
远,,4,1,-0.8279,3,0.8279
四周,,4,1,-0.8279,3,0.8279
差不多,,4,1,-0.8279,3,0.8279
数以万计,,4,1,-0.8279,3,0.8279
安娜,,4,1,-0.8279,3,0.8279
1,,4,1,-0.8279,3,0.8279
活力,,4,1,-0.8279,3,0.8279
两周,,4,1,-0.8279,3,0.8279
前方,,4,1,-0.8279,3,0.8279
接待,,4,1,-0.8279,3,0.8279
具体措施,,4,1,-0.8279,3,0.8279
交通部长,,4,1,-0.8279,3,0.8279
浓烟,,4,1,-0.8279,3,0.8279
抱,,4,1,-0.8279,3,0.8279
节奏,,4,1,-0.8279,3,0.8279
人气,,4,1,-0.8279,3,0.8279
一幕,,4,1,-0.8279,3,0.8279
冷静,,4,1,-0.8279,3,0.8279
究竟,,4,1,-0.8279,3,0.8279
并非,,15,7,-0.8156,8,0.8156
担心,,15,7,-0.8156,8,0.8156
数量,,15,7,-0.8156,8,0.8156
更是,,15,7,-0.8156,8,0.8156
形势,,15,7,-0.8156,8,0.8156
形式,,15,7,-0.8156,8,0.8156
恢复,,22,11,-0.8128,11,0.8128
一周,,22,11,-0.8128,11,0.8128
之,,34,18,-0.8063,16,0.8063
月,,732,446,-0.8017,286,0.8017
给,,71,40,-0.8004,31,0.8004
利用,,27,14,-0.7846,13,0.7846
今日,,27,14,-0.7846,13,0.7846
如今,,27,14,-0.7846,13,0.7846
人士,,94,54,-0.7765,40,0.7765
回应,,54,30,-0.7729,24,0.7729
恶化,,13,6,-0.7706,7,0.7706
日称,,13,6,-0.7706,7,0.7706
迎来,,13,6,-0.7706,7,0.7706
第五,,13,6,-0.7706,7,0.7706
一方面,,13,6,-0.7706,7,0.7706
站,,13,6,-0.7706,7,0.7706
十分,,20,10,-0.7691,10,0.7691
信任,,20,10,-0.7691,10,0.7691
时,,158,93,-0.76,65,0.76
及,,97,56,-0.7515,41,0.7515
采访,,47,26,-0.7415,21,0.7415
近日,,30,16,-0.7259,14,0.7259
纷纷,,18,9,-0.7241,9,0.7241
南部,,18,9,-0.7241,9,0.7241
共和党,,18,9,-0.7241,9,0.7241
大门,,18,9,-0.7241,9,0.7241
宪法,,11,5,-0.724,6,0.724
余名,,11,5,-0.724,6,0.724
观察,,11,5,-0.724,6,0.724
图,,11,5,-0.724,6,0.724
发生,,136,80,-0.7158,56,0.7158
努力,,23,12,-0.6992,11,0.6992
罢工,,23,12,-0.6992,11,0.6992
接受,,101,59,-0.679,42,0.679
上周,,16,8,-0.6776,8,0.6776
错误,,16,8,-0.6776,8,0.6776
节目,,16,8,-0.6776,8,0.6776
就任,,16,8,-0.6776,8,0.6776
不得不,,16,8,-0.6776,8,0.6776
考虑,,33,18,-0.6764,15,0.6764
街道,,9,4,-0.6752,5,0.6752
主意,,9,4,-0.6752,5,0.6752
对峙,,9,4,-0.6752,5,0.6752
相对,,9,4,-0.6752,5,0.6752
不可,,9,4,-0.6752,5,0.6752
反而,,9,4,-0.6752,5,0.6752
模式,,9,4,-0.6752,5,0.6752
教授,,9,4,-0.6752,5,0.6752
之下,,9,4,-0.6752,5,0.6752
所在,,9,4,-0.6752,5,0.6752
写,,9,4,-0.6752,5,0.6752
因,,58,33,-0.6716,25,0.6716
报告,,48,27,-0.6691,21,0.6691
只,,21,11,-0.655,10,0.655
25,,21,11,-0.655,10,0.655
其中,,66,38,-0.6462,28,0.6462
比利时,,26,14,-0.643,12,0.643
信息,,31,17,-0.6367,14,0.6367
部长,,31,17,-0.6367,14,0.6367
出于,,14,7,-0.6293,7,0.6293
共和,,14,7,-0.6293,7,0.6293
至今,,14,7,-0.6293,7,0.6293
想要,,14,7,-0.6293,7,0.6293
集中,,14,7,-0.6293,7,0.6293
使得,,7,3,-0.6236,4,0.6236
打开,,7,3,-0.6236,4,0.6236
路线,,7,3,-0.6236,4,0.6236
怀疑,,7,3,-0.6236,4,0.6236
配备,,7,3,-0.6236,4,0.6236
两国关系,,7,3,-0.6236,4,0.6236
内政,,7,3,-0.6236,4,0.6236
严峻,,7,3,-0.6236,4,0.6236
灾难,,7,3,-0.6236,4,0.6236
远远,,7,3,-0.6236,4,0.6236
合理,,7,3,-0.6236,4,0.6236
解决问题,,7,3,-0.6236,4,0.6236
助手,,7,3,-0.6236,4,0.6236
护照,,7,3,-0.6236,4,0.6236
往往,,19,10,-0.6095,9,0.6095
1,,264,160,-0.6007,104,0.6007
办公室,,24,13,-0.6003,11,0.6003
达到,,24,13,-0.6003,11,0.6003
未,,24,13,-0.6003,11,0.6003
谴责,,24,13,-0.6003,11,0.6003
支持者,,24,13,-0.6003,11,0.6003
进一步,,44,25,-0.5994,19,0.5994
近,,39,22,-0.597,17,0.597
挑战,,29,16,-0.5965,13,0.5965
推进,,29,16,-0.5965,13,0.5965
日前,,34,19,-0.5958,15,0.5958
对话,,62,36,-0.5853,26,0.5853
紧急,,12,6,-0.5784,6,0.5784
制定,,12,6,-0.5784,6,0.5784
车辆,,12,6,-0.5784,6,0.5784
类,,12,6,-0.5784,6,0.5784
政坛,,12,6,-0.5784,6,0.5784
自身,,12,6,-0.5784,6,0.5784
2008,,12,6,-0.5784,6,0.5784
纳,,12,6,-0.5784,6,0.5784
出来,,12,6,-0.5784,6,0.5784
后者,,12,6,-0.5784,6,0.5784
党派,,12,6,-0.5784,6,0.5784
成,,12,6,-0.5784,6,0.5784
需,,12,6,-0.5784,6,0.5784
以往,,12,6,-0.5784,6,0.5784
很多,,52,30,-0.5743,22,0.5743
房屋,,5,2,-0.5678,3,0.5678
周二,,5,2,-0.5678,3,0.5678
半数,,5,2,-0.5678,3,0.5678
架构,,5,2,-0.5678,3,0.5678
绝大多数,,5,2,-0.5678,3,0.5678
挽救,,5,2,-0.5678,3,0.5678
靠,,5,2,-0.5678,3,0.5678
外部,,5,2,-0.5678,3,0.5678
宣传,,5,2,-0.5678,3,0.5678
有限,,5,2,-0.5678,3,0.5678
有力,,5,2,-0.5678,3,0.5678
兑现,,5,2,-0.5678,3,0.5678
行程,,5,2,-0.5678,3,0.5678
低于,,5,2,-0.5678,3,0.5678
难度,,5,2,-0.5678,3,0.5678
包雪琳,,5,2,-0.5678,3,0.5678
崛起,,5,2,-0.5678,3,0.5678
至此,,5,2,-0.5678,3,0.5678
特殊,,5,2,-0.5678,3,0.5678
却是,,5,2,-0.5678,3,0.5678
欧盟委员会,,5,2,-0.5678,3,0.5678
从根本上,,5,2,-0.5678,3,0.5678
更为,,5,2,-0.5678,3,0.5678
给出,,5,2,-0.5678,3,0.5678
议案,,5,2,-0.5678,3,0.5678
常常,,5,2,-0.5678,3,0.5678
赔偿,,5,2,-0.5678,3,0.5678
旁,,5,2,-0.5678,3,0.5678
财政部长,,5,2,-0.5678,3,0.5678
一群,,5,2,-0.5678,3,0.5678
撞,,5,2,-0.5678,3,0.5678
场景,,5,2,-0.5678,3,0.5678
免费,,5,2,-0.5678,3,0.5678
130,,5,2,-0.5678,3,0.5678
肆意,,5,2,-0.5678,3,0.5678
补偿,,5,2,-0.5678,3,0.5678
风格,,5,2,-0.5678,3,0.5678
仅仅,,5,2,-0.5678,3,0.5678
治安,,5,2,-0.5678,3,0.5678
正当,,5,2,-0.5678,3,0.5678
贫困人口,,5,2,-0.5678,3,0.5678
一半,,5,2,-0.5678,3,0.5678
政府部门,,5,2,-0.5678,3,0.5678
尝试,,5,2,-0.5678,3,0.5678
遭,,42,24,-0.5644,18,0.5644
外界,,17,9,-0.5624,8,0.5624
才,,17,9,-0.5624,8,0.5624
最为,,17,9,-0.5624,8,0.5624
一种,,32,18,-0.5573,14,0.5573
50,,32,18,-0.5573,14,0.5573
地方,,32,18,-0.5573,14,0.5573
此,,22,12,-0.5567,10,0.5567
市长,,22,12,-0.5567,10,0.5567
24,,27,15,-0.5557,12,0.5557
稳定,,27,15,-0.5557,12,0.5557
大家,,27,15,-0.5557,12,0.5557
或,,99,59,-0.5402,40,0.5402
无法,,45,26,-0.5355,19,0.5355
遭遇,,45,26,-0.5355,19,0.5355
它,,40,23,-0.5294,17,0.5294
更加,,40,23,-0.5294,17,0.5294
一步,,10,5,-0.5243,5,0.5243
它们,,10,5,-0.5243,5,0.5243
迎接,,10,5,-0.5243,5,0.5243
基本,,10,5,-0.5243,5,0.5243
糟糕,,10,5,-0.5243,5,0.5243
家,,10,5,-0.5243,5,0.5243
相继,,10,5,-0.5243,5,0.5243
声音,,10,5,-0.5243,5,0.5243
这起,,10,5,-0.5243,5,0.5243
随着,,35,20,-0.5236,15,0.5236
产生,,35,20,-0.5236,15,0.5236
通讯社,,35,20,-0.5236,15,0.5236
2000,,25,14,-0.5142,11,0.5142
表示,,373,229,-0.5136,144,0.5136
推特,,15,8,-0.5135,7,0.5135
召开,,15,8,-0.5135,7,0.5135
看来,,15,8,-0.5135,7,0.5135
广泛,,15,8,-0.5135,7,0.5135
一辆,,15,8,-0.5135,7,0.5135
阻止,,15,8,-0.5135,7,0.5135
60,,20,11,-0.512,9,0.512
理解,,20,11,-0.512,9,0.512
夜间,,3,1,-0.5053,2,0.5053
油料,,3,1,-0.5053,2,0.5053
棘手,,3,1,-0.5053,2,0.5053
一台,,3,1,-0.5053,2,0.5053
沦为,,3,1,-0.5053,2,0.5053
时起,,3,1,-0.5053,2,0.5053
权宜之计,,3,1,-0.5053,2,0.5053
包袱,,3,1,-0.5053,2,0.5053
暴露,,3,1,-0.5053,2,0.5053
趁势,,3,1,-0.5053,2,0.5053
以下,,3,1,-0.5053,2,0.5053
示范,,3,1,-0.5053,2,0.5053
力,,3,1,-0.5053,2,0.5053
变形,,3,1,-0.5053,2,0.5053
职员,,3,1,-0.5053,2,0.5053
小型,,3,1,-0.5053,2,0.5053
色,,3,1,-0.5053,2,0.5053
询问,,3,1,-0.5053,2,0.5053
动机,,3,1,-0.5053,2,0.5053
新能源,,3,1,-0.5053,2,0.5053
生态环境,,3,1,-0.5053,2,0.5053
枪击,,3,1,-0.5053,2,0.5053
货车,,3,1,-0.5053,2,0.5053
新年伊始,,3,1,-0.5053,2,0.5053
东南部,,3,1,-0.5053,2,0.5053
司法部门,,3,1,-0.5053,2,0.5053
三次,,3,1,-0.5053,2,0.5053
换,,3,1,-0.5053,2,0.5053
下跌,,3,1,-0.5053,2,0.5053
切身感受,,3,1,-0.5053,2,0.5053
殴打,,3,1,-0.5053,2,0.5053
长时间,,3,1,-0.5053,2,0.5053
早就,,3,1,-0.5053,2,0.5053
王逸君,,3,1,-0.5053,2,0.5053
老佛爷,,3,1,-0.5053,2,0.5053
购物中心,,3,1,-0.5053,2,0.5053
首选,,3,1,-0.5053,2,0.5053
增设,,3,1,-0.5053,2,0.5053
阿尔卑斯山,,3,1,-0.5053,2,0.5053
加速,,3,1,-0.5053,2,0.5053
瑞士,,3,1,-0.5053,2,0.5053
远离,,3,1,-0.5053,2,0.5053
对内,,3,1,-0.5053,2,0.5053
命名,,3,1,-0.5053,2,0.5053
耗资,,3,1,-0.5053,2,0.5053
龚鸣,,3,1,-0.5053,2,0.5053
蕴藏,,3,1,-0.5053,2,0.5053
如同,,3,1,-0.5053,2,0.5053
不堪,,3,1,-0.5053,2,0.5053
不买账,,3,1,-0.5053,2,0.5053
终将,,3,1,-0.5053,2,0.5053
看好,,3,1,-0.5053,2,0.5053
强硬派,,3,1,-0.5053,2,0.5053
收益,,3,1,-0.5053,2,0.5053
丧失,,3,1,-0.5053,2,0.5053
地中海,,3,1,-0.5053,2,0.5053
终结,,3,1,-0.5053,2,0.5053
宙斯,,3,1,-0.5053,2,0.5053
总参谋长,,3,1,-0.5053,2,0.5053
依旧,,3,1,-0.5053,2,0.5053
世界杯,,3,1,-0.5053,2,0.5053
情形,,3,1,-0.5053,2,0.5053
某种,,3,1,-0.5053,2,0.5053
38,,3,1,-0.5053,2,0.5053
余,,3,1,-0.5053,2,0.5053
寄予厚望,,3,1,-0.5053,2,0.5053
气,,3,1,-0.5053,2,0.5053
下去,,3,1,-0.5053,2,0.5053
犯,,3,1,-0.5053,2,0.5053
闭门谢客,,3,1,-0.5053,2,0.5053
销售量,,3,1,-0.5053,2,0.5053
不行,,3,1,-0.5053,2,0.5053
愤懑,,3,1,-0.5053,2,0.5053
接踵而至,,3,1,-0.5053,2,0.5053
半后,,3,1,-0.5053,2,0.5053
萎缩,,3,1,-0.5053,2,0.5053
变动,,3,1,-0.5053,2,0.5053
未知,,3,1,-0.5053,2,0.5053
千米,,3,1,-0.5053,2,0.5053
三人,,3,1,-0.5053,2,0.5053
雇主,,3,1,-0.5053,2,0.5053
政见,,3,1,-0.5053,2,0.5053
重量级,,3,1,-0.5053,2,0.5053
局限于,,3,1,-0.5053,2,0.5053
通话,,3,1,-0.5053,2,0.5053
朝着,,3,1,-0.5053,2,0.5053
耐心,,3,1,-0.5053,2,0.5053
期望,,3,1,-0.5053,2,0.5053
头,,3,1,-0.5053,2,0.5053
驻守,,3,1,-0.5053,2,0.5053
医疗保健,,3,1,-0.5053,2,0.5053
席,,3,1,-0.5053,2,0.5053
倒戈,,3,1,-0.5053,2,0.5053
工具,,3,1,-0.5053,2,0.5053
复兴,,3,1,-0.5053,2,0.5053
关键词,,3,1,-0.5053,2,0.5053
公共服务,,3,1,-0.5053,2,0.5053
数以千计,,3,1,-0.5053,2,0.5053
大大,,3,1,-0.5053,2,0.5053
成分,,3,1,-0.5053,2,0.5053
步入,,3,1,-0.5053,2,0.5053
相撞,,3,1,-0.5053,2,0.5053
绿色,,3,1,-0.5053,2,0.5053
变,,3,1,-0.5053,2,0.5053
刚,,3,1,-0.5053,2,0.5053
公约,,3,1,-0.5053,2,0.5053
Info,,3,1,-0.5053,2,0.5053
经济部,,3,1,-0.5053,2,0.5053
叫停,,3,1,-0.5053,2,0.5053
流传,,3,1,-0.5053,2,0.5053
遗迹,,3,1,-0.5053,2,0.5053
左,,3,1,-0.5053,2,0.5053
中来,,3,1,-0.5053,2,0.5053
干,,3,1,-0.5053,2,0.5053
总之,,3,1,-0.5053,2,0.5053
心态,,3,1,-0.5053,2,0.5053
效果,,3,1,-0.5053,2,0.5053
解雇,,3,1,-0.5053,2,0.5053
万多名,,3,1,-0.5053,2,0.5053
暴跌,,3,1,-0.5053,2,0.5053
不当,,3,1,-0.5053,2,0.5053
进来,,3,1,-0.5053,2,0.5053
轻松,,3,1,-0.5053,2,0.5053
保镖,,3,1,-0.5053,2,0.5053
一经,,3,1,-0.5053,2,0.5053
日后,,3,1,-0.5053,2,0.5053
轩然大波,,3,1,-0.5053,2,0.5053
反省,,3,1,-0.5053,2,0.5053
行人,,3,1,-0.5053,2,0.5053
一个多月,,3,1,-0.5053,2,0.5053
一环,,3,1,-0.5053,2,0.5053
鼓掌,,3,1,-0.5053,2,0.5053
痛斥,,3,1,-0.5053,2,0.5053
打上,,3,1,-0.5053,2,0.5053
星期日,,3,1,-0.5053,2,0.5053
隐患,,3,1,-0.5053,2,0.5053
差距,,3,1,-0.5053,2,0.5053
激发,,3,1,-0.5053,2,0.5053
素有,,3,1,-0.5053,2,0.5053
一月,,3,1,-0.5053,2,0.5053
无力,,3,1,-0.5053,2,0.5053
阐述,,3,1,-0.5053,2,0.5053
不小,,3,1,-0.5053,2,0.5053
迫于,,3,1,-0.5053,2,0.5053
重挫,,3,1,-0.5053,2,0.5053
丑闻,,3,1,-0.5053,2,0.5053
据介绍,,3,1,-0.5053,2,0.5053
重燃,,3,1,-0.5053,2,0.5053
一共,,3,1,-0.5053,2,0.5053
除夕,,3,1,-0.5053,2,0.5053
两种,,3,1,-0.5053,2,0.5053
转化,,3,1,-0.5053,2,0.5053
缩影,,3,1,-0.5053,2,0.5053
体系,,3,1,-0.5053,2,0.5053
多边贸易,,3,1,-0.5053,2,0.5053
国际舞台,,3,1,-0.5053,2,0.5053
尼古拉,,3,1,-0.5053,2,0.5053
外媒称,,3,1,-0.5053,2,0.5053
往年,,3,1,-0.5053,2,0.5053
三军,,3,1,-0.5053,2,0.5053
公报,,3,1,-0.5053,2,0.5053
两家,,3,1,-0.5053,2,0.5053
亚,,3,1,-0.5053,2,0.5053
猛烈,,3,1,-0.5053,2,0.5053
89,,3,1,-0.5053,2,0.5053
福尔,,3,1,-0.5053,2,0.5053
街区,,3,1,-0.5053,2,0.5053
路段,,3,1,-0.5053,2,0.5053
奔赴,,3,1,-0.5053,2,0.5053
轻易,,3,1,-0.5053,2,0.5053
小规模,,3,1,-0.5053,2,0.5053
这番,,3,1,-0.5053,2,0.5053
血脉,,3,1,-0.5053,2,0.5053
第一步,,3,1,-0.5053,2,0.5053
修复,,3,1,-0.5053,2,0.5053
去除,,3,1,-0.5053,2,0.5053
传出,,3,1,-0.5053,2,0.5053
设想,,3,1,-0.5053,2,0.5053
公务,,3,1,-0.5053,2,0.5053
辞去,,3,1,-0.5053,2,0.5053
毫无根据,,3,1,-0.5053,2,0.5053
预期,,23,13,-0.4721,10,0.4721
言论,,23,13,-0.4721,10,0.4721
公布,,41,24,-0.4684,17,0.4684
加剧,,18,10,-0.466,8,0.466
燃料,,18,10,-0.466,8,0.466
所有人,,18,10,-0.466,8,0.466
困难,,8,4,-0.4657,4,0.4657
称,,296,182,-0.4657,114,0.4657
下来,,8,4,-0.4657,4,0.4657
年龄,,8,4,-0.4657,4,0.4657
度过,,8,4,-0.4657,4,0.4657
做好,,8,4,-0.4657,4,0.4657
产业,,8,4,-0.4657,4,0.4657
估计,,8,4,-0.4657,4,0.4657
话题,,8,4,-0.4657,4,0.4657
伤者,,8,4,-0.4657,4,0.4657
视觉,,8,4,-0.4657,4,0.4657
低,,8,4,-0.4657,4,0.4657
受损,,8,4,-0.4657,4,0.4657
玻璃,,8,4,-0.4657,4,0.4657
区域,,13,7,-0.4623,6,0.4623
因素,,13,7,-0.4623,6,0.4623
财政,,13,7,-0.4623,6,0.4623
年来,,13,7,-0.4623,6,0.4623
理由,,13,7,-0.4623,6,0.4623
年轻,,13,7,-0.4623,6,0.4623
主张,,13,7,-0.4623,6,0.4623
提交,,13,7,-0.4623,6,0.4623
涉及,,13,7,-0.4623,6,0.4623
附近,,62,37,-0.4553,25,0.4553
网络,,31,18,-0.4494,13,0.4494
正在,,78,47,-0.4414,31,0.4414
到,,186,114,-0.4405,72,0.4405
重新,,39,23,-0.4348,16,0.4348
未来,,39,23,-0.4348,16,0.4348
还,,197,121,-0.43,76,0.43
摄,,21,12,-0.4291,9,0.4291
非洲,,21,12,-0.4291,9,0.4291
各,,21,12,-0.4291,9,0.4291
辞职,,21,12,-0.4291,9,0.4291
自己,,60,36,-0.4277,24,0.4277
出,,47,28,-0.4247,19,0.4247
总,,16,9,-0.4185,7,0.4185
现有,,16,9,-0.4185,7,0.4185
大部分,,16,9,-0.4185,7,0.4185
开展,,16,9,-0.4185,7,0.4185
除了,,16,9,-0.4185,7,0.4185
去年,,113,69,-0.4131,44,0.4131
一项,,29,17,-0.412,12,0.412
好,,29,17,-0.412,12,0.412
针对,,63,38,-0.4113,25,0.4113
寻找,,11,6,-0.408,5,0.408
与此同时,,11,6,-0.408,5,0.408
权力,,11,6,-0.408,5,0.408
组成,,11,6,-0.408,5,0.408
两党,,11,6,-0.408,5,0.408
动用,,11,6,-0.408,5,0.408
推特上,,11,6,-0.408,5,0.408
展现,,11,6,-0.408,5,0.408
带,,11,6,-0.408,5,0.408
负责人,,11,6,-0.408,5,0.408
便,,11,6,-0.408,5,0.408
有所,,11,6,-0.408,5,0.408
返回,,11,6,-0.408,5,0.408
网友,,11,6,-0.408,5,0.408
引爆,,11,6,-0.408,5,0.408
75,,11,6,-0.408,5,0.408
个,,137,84,-0.4069,53,0.4069
承诺,,37,22,-0.4014,15,0.4014
万,,37,22,-0.4014,15,0.4014
作业,,6,3,-0.4,3,0.4
空间,,6,3,-0.4,3,0.4
增强,,6,3,-0.4,3,0.4
高度,,6,3,-0.4,3,0.4
抱怨,,6,3,-0.4,3,0.4
主流,,6,3,-0.4,3,0.4
肯定,,6,3,-0.4,3,0.4
速度,,6,3,-0.4,3,0.4
予以,,6,3,-0.4,3,0.4
闯入,,6,3,-0.4,3,0.4
确实,,6,3,-0.4,3,0.4
强,,6,3,-0.4,3,0.4
转移,,6,3,-0.4,3,0.4
相当,,6,3,-0.4,3,0.4
建成,,6,3,-0.4,3,0.4
借助,,6,3,-0.4,3,0.4
平均,,6,3,-0.4,3,0.4
选票,,6,3,-0.4,3,0.4
单位,,6,3,-0.4,3,0.4
占领,,6,3,-0.4,3,0.4
体现,,6,3,-0.4,3,0.4
不可或缺,,6,3,-0.4,3,0.4
58,,6,3,-0.4,3,0.4
例如,,6,3,-0.4,3,0.4
就要,,6,3,-0.4,3,0.4
45,,6,3,-0.4,3,0.4
78,,6,3,-0.4,3,0.4
竟然,,6,3,-0.4,3,0.4
他称,,6,3,-0.4,3,0.4
令人担忧,,6,3,-0.4,3,0.4
作者,,6,3,-0.4,3,0.4
已有,,24,14,-0.3992,10,0.3992
重大,,24,14,-0.3992,10,0.3992
都,,209,129,-0.3973,80,0.3973
4,,95,58,-0.3971,37,0.3971
推动,,45,27,-0.3942,18,0.3942
网,,82,50,-0.3898,32,0.3898
得到,,53,32,-0.3889,21,0.3889
投票,,19,11,-0.3851,8,0.3851
巨大,,19,11,-0.3851,8,0.3851
此前,,61,37,-0.385,24,0.385
大约,,48,29,-0.3768,19,0.3768
环境,,14,8,-0.3691,6,0.3691
普遍,,14,8,-0.3691,6,0.3691
气候变化,,14,8,-0.3691,6,0.3691
截至,,14,8,-0.3691,6,0.3691
东部,,14,8,-0.3691,6,0.3691
其实,,14,8,-0.3691,6,0.3691
作出,,43,26,-0.3639,17,0.3639
做,,51,31,-0.3611,20,0.3611
原因,,51,31,-0.3611,20,0.3611
议长,,22,13,-0.3585,9,0.3585
消息人士,,22,13,-0.3585,9,0.3585
以及,,107,66,-0.3539,41,0.3539
有,,433,270,-0.3519,163,0.3519
电视台,,38,23,-0.35,15,0.35
运营,,9,5,-0.3497,4,0.3497
就此,,9,5,-0.3497,4,0.3497
或许,,9,5,-0.3497,4,0.3497
事情,,9,5,-0.3497,4,0.3497
有利于,,9,5,-0.3497,4,0.3497
策划,,9,5,-0.3497,4,0.3497
争取,,9,5,-0.3497,4,0.3497
自称,,9,5,-0.3497,4,0.3497
连,,9,5,-0.3497,4,0.3497
民族,,9,5,-0.3497,4,0.3497
遵守,,9,5,-0.3497,4,0.3497
接近,,9,5,-0.3497,4,0.3497
脱离,,9,5,-0.3497,4,0.3497
贴,,9,5,-0.3497,4,0.3497
尚,,9,5,-0.3497,4,0.3497
地点,,25,15,-0.3366,10,0.3366
关闭,,25,15,-0.3366,10,0.3366
20,,49,30,-0.3336,19,0.3336
下,,108,67,-0.3258,41,0.3258
数万,,4,2,-0.3222,2,0.3222
所属,,4,2,-0.3222,2,0.3222
那样,,4,2,-0.3222,2,0.3222
约翰,,4,2,-0.3222,2,0.3222
重创,,4,2,-0.3222,2,0.3222
